Continental Divide Trail Pinedale WY 82941 USA,3322.44,S
Co Rd 201 Kim CO 81049 USA,484.07,SE
Unnamed Road Ten Sleep WY 82442 USA,55.7248,N
20654-20998 State Hwy W Ridgeway MO 64481 USA,390.212,E
N2180 Rd Vici OK 73859 USA,339.028,W
19425-20399 Co Rd 7 Las Animas CO 81054 USA,652.248,E
Unnamed Road Medicine Bow WY 82329 USA,2052.15,S
34343 US Hwy 285 Medanales NM 87548 USA,3527.01,NE
26650 79 Trail Winnett MT 59087 USA,6426.06,N
163 Maggie Ln Reeds Spring MO 65737 USA,49.8506,W
34722 Co Rd 126 Ashby MN 56309 USA,300.222,NW
Jack Creek Rd Utah USA,129.64,S
13852 N 3500 E Rd Piper City IL 60959 USA,530.964,NW
Unnamed Road Barley NE USA,779.621,SE
758 N Cryer St Winters TX 79567 USA,180.016,NE
98 SW 60 Rd Anthony KS 67003 USA,799.688,NW
N4400 Braggs OK 74423 USA,457.607,NE
3428 TX-11 Daingerfield TX 75638 USA,226.517,S
15921-15999 Cedar Rd Wadena IA 52169 USA,405.191,NE
